frame,player_id,tacticam_bbox,broadcast_bbox
11,95,"[745, 392, 785, 450]","[1778, 596, 1834, 704]"
11,96,"[1120, 481, 1147, 543]","[834, 570, 879, 662]"
11,97,"[946, 267, 966, 327]","[628, 749, 672, 878]"
11,98,"[1120, 481, 1147, 543]","[1561, 496, 1596, 576]"
11,99,"[814, 242, 853, 295]","[852, 610, 916, 721]"
11,100,"[814, 242, 853, 295]","[1592, 566, 1647, 670]"
11,101,"[946, 267, 966, 327]","[933, 574, 966, 672]"
11,102,"[892, 157, 917, 204]","[1554, 408, 1589, 449]"
11,103,"[854, 574, 898, 640]","[916, 573, 965, 670]"
12,104,"[289, 779, 343, 852]","[1534, 717, 1635, 843]"
12,105,"[289, 779, 343, 852]","[632, 745, 686, 878]"
12,106,"[422, 200, 462, 257]","[1266, 469, 1336, 561]"
12,107,"[1129, 351, 1163, 408]","[853, 609, 926, 717]"
12,108,"[1129, 351, 1163, 408]","[827, 568, 881, 662]"
12,109,"[289, 779, 343, 852]","[1503, 430, 1552, 518]"
12,110,"[854, 571, 898, 639]","[1649, 453, 1721, 532]"
12,111,"[287, 424, 320, 487]","[937, 571, 981, 671]"
12,112,"[748, 393, 779, 452]","[1788, 597, 1834, 705]"
12,113,"[1129, 351, 1163, 408]","[1557, 495, 1610, 585]"
12,114,"[422, 200, 462, 257]","[1596, 567, 1641, 671]"
13,115,"[846, 573, 899, 638]","[1535, 715, 1642, 841]"
13,116,"[289, 779, 333, 852]","[635, 743, 693, 865]"
13,117,"[846, 573, 899, 638]","[1502, 431, 1554, 517]"
13,118,"[289, 779, 333, 852]","[1651, 453, 1716, 535]"
13,119,"[807, 243, 846, 295]","[1268, 471, 1339, 564]"
13,120,"[420, 200, 462, 256]","[1551, 494, 1622, 587]"
13,121,"[420, 200, 462, 256]","[857, 606, 927, 717]"
13,122,"[420, 200, 462, 256]","[825, 568, 894, 661]"
13,123,"[288, 424, 319, 484]","[939, 569, 985, 661]"
13,124,"[420, 200, 462, 256]","[1598, 563, 1652, 673]"
13,125,"[845, 150, 879, 190]","[73, 508, 110, 614]"
13,126,"[296, 512, 331, 577]","[1796, 598, 1841, 706]"
13,127,"[918, 199, 946, 247]","[1587, 409, 1621, 451]"
14,128,"[844, 573, 895, 637]","[1536, 715, 1642, 835]"
14,129,"[943, 266, 979, 327]","[1504, 433, 1553, 518]"
14,130,"[943, 266, 979, 327]","[637, 741, 694, 863]"
14,131,"[416, 200, 462, 256]","[1598, 555, 1664, 673]"
14,132,"[416, 200, 462, 256]","[859, 605, 917, 720]"
14,133,"[416, 200, 462, 256]","[1545, 493, 1624, 585]"
14,134,"[290, 423, 318, 482]","[948, 566, 987, 660]"
14,135,"[416, 200, 462, 256]","[1268, 472, 1340, 565]"
14,136,"[416, 200, 462, 256]","[830, 568, 893, 665]"
14,137,"[748, 394, 773, 453]","[1805, 595, 1853, 705]"
14,138,"[1485, 226, 1514, 275]","[1664, 454, 1697, 537]"
14,139,"[1670, 464, 1696, 525]","[86, 509, 124, 614]"
15,140,"[1486, 226, 1517, 276]","[1534, 715, 1639, 837]"
15,141,"[416, 201, 464, 256]","[1598, 560, 1672, 665]"
15,142,"[416, 201, 464, 256]","[1270, 473, 1338, 564]"
15,143,"[947, 267, 982, 328]","[637, 739, 690, 866]"
15,144,"[284, 776, 319, 848]","[1663, 454, 1700, 536]"
15,145,"[1112, 480, 1145, 542]","[837, 568, 894, 665]"
15,146,"[1671, 463, 1699, 526]","[1511, 434, 1554, 522]"
15,147,"[416, 201, 464, 256]","[1555, 494, 1624, 584]"
15,148,"[947, 267, 982, 328]","[956, 565, 998, 660]"
15,149,"[416, 201, 464, 256]","[863, 610, 914, 719]"
15,150,"[745, 390, 773, 454]","[1811, 595, 1861, 704]"
16,151,"[1487, 226, 1520, 276]","[1534, 716, 1629, 837]"
16,152,"[290, 505, 337, 569]","[1597, 561, 1677, 662]"
16,153,"[1671, 462, 1702, 525]","[642, 737, 690, 864]"
16,154,"[417, 201, 462, 258]","[1278, 473, 1336, 564]"
16,155,"[1487, 226, 1520, 276]","[1658, 452, 1713, 537]"
16,156,"[1110, 480, 1148, 541]","[837, 568, 898, 665]"
16,157,"[1313, 808, 1348, 886]","[1522, 437, 1557, 524]"
16,158,"[294, 420, 324, 481]","[962, 563, 1008, 661]"
16,159,"[742, 384, 774, 450]","[1812, 593, 1871, 701]"
16,160,"[1110, 480, 1148, 541]","[870, 615, 910, 719]"
16,161,"[1110, 480, 1148, 541]","[1562, 494, 1615, 590]"
17,162,"[1310, 808, 1352, 885]","[1534, 715, 1619, 840]"
17,163,"[277, 768, 326, 844]","[1655, 452, 1717, 532]"
17,164,"[1672, 463, 1706, 526]","[645, 733, 698, 862]"
17,165,"[417, 201, 460, 258]","[1603, 560, 1661, 664]"
17,166,"[417, 201, 460, 258]","[845, 565, 899, 638]"
